Date,Price,Open,High,Low,Vol.,Change %
4/1/2020,506719,483006,509646,466526,-,4.85%
4/2/2020,520028,507419,546335,501415,-,2.63%
4/3/2020,513316,518893,535165,504449,-,-1.29%
4/4/2020,522421,513004,532522,507849,-,1.77%
4/5/2020,516266,522771,525260,509652,-,-1.18%
4/6/2020,557027,516302,557027,516100,-,7.90%
4/7/2020,544825,557100,565772,536492,-,-2.19%
4/8/2020,558818,544643,562970,541281,-,2.57%
4/9/2020,555986,558898,560755,544947,-,-0.51%
4/10/2020,520818,555816,556447,512329,-,-6.33%
4/11/2020,522235,520557,526287,513351,-,0.27%
4/12/2020,523745,521863,544168,514555,-,0.29%
4/13/2020,521782,523444,524745,501506,-,-0.37%
4/14/2020,521886,521984,530228,515475,-,0.02%
4/15/2020,507071,522026,527186,506247,-,-2.84%
4/16/2020,545583,506576,550891,497256,-,7.59%
4/17/2020,538329,545911,547629,535030,-,-1.33%
4/18/2020,554677,537823,557334,536953,-,3.04%
4/19/2020,545308,554902,555788,540668,-,-1.69%
4/20/2020,523128,545188,551200,518135,-,-4.07%
4/21/2020,526657,523370,533437,520595,-,0.67%
4/22/2020,544253,526274,546396,524959,-,3.34%
4/23/2020,567312,544402,579958,535055,-,4.24%
4/24/2020,571912,567867,580673,565964,-,0.81%
4/25/2020,575113,572412,585658,568480,-,0.56%
4/26/2020,586468,575018,586553,573933,-,1.97%
4/27/2020,592426,589029,592584,580944,-,1.02%
4/28/2020,589352,592935,592935,582863,-,-0.52%
4/29/2020,661435,589563,674870,587103,-,12.23%
4/30/2020,648529,662598,709490,632817,-,-1.95%
